number,value,params_pca_components,params_selector_threshold,params_train_eta,params_train_max_depth,params_use_feature_gen,params_use_pca,state
0,0.061698582008525474,15,mean,0.1343165303132418,11,False,False,COMPLETE
1,0.05613598145715618,5,0*mean,0.022101706430071286,6,True,False,COMPLETE
2,0.056851131370183425,20,mean,0.030061906417876233,5,True,False,COMPLETE
3,0.0990395124047913,5,mean,0.11759367394515066,10,False,True,COMPLETE
4,0.05663658231506706,20,0.25*mean,0.15681166001402455,10,True,False,COMPLETE
5,0.05630555240540471,15,mean,0.03128344823061561,7,True,True,COMPLETE
6,0.06122916825514542,5,0.5*mean,0.01665208835108825,12,False,True,COMPLETE
7,0.06140075333602422,15,0.75*mean,0.021498647599234273,10,False,True,COMPLETE
8,0.056420392287192735,20,0.5*mean,0.11540712338703248,8,True,False,COMPLETE
9,0.061978261788083674,20,mean,0.2653548608576974,7,False,True,COMPLETE
10,,10,0*mean,0.010889622798107575,3,True,False,RUNNING
11,0.05630063134836553,10,0*mean,0.010090888129942048,3,True,False,COMPLETE
12,0.056298310711084674,10,0*mean,0.010398400521342504,3,True,False,COMPLETE
13,0.05629850835447796,10,0*mean,0.010031843010327147,3,True,False,COMPLETE
14,0.05619116041916713,10,0*mean,0.061959157253884393,5,True,False,COMPLETE
15,0.05619811804508451,5,0*mean,0.05867067117716805,5,True,False,COMPLETE
16,0.05619143211117687,10,0*mean,0.06252183479882706,5,True,False,COMPLETE
17,0.0562778768444112,5,0.75*mean,0.040484398511809475,6,True,False,COMPLETE
18,0.056362964510621075,10,0.25*mean,0.07687002639155492,8,True,False,COMPLETE
19,0.05621236636197261,5,0*mean,0.019134601989629855,4,True,False,COMPLETE
20,0.056145096649757066,10,0*mean,0.0434993340541247,6,True,False,COMPLETE
21,0.056144108399317584,5,0*mean,0.036818420928244826,6,True,False,COMPLETE
22,0.05614175026446019,5,0*mean,0.040454204290225365,6,True,False,COMPLETE
23,0.05613626202661833,5,0*mean,0.025721065979479384,6,True,False,COMPLETE
24,0.05612131001575001,5,0*mean,0.022554824684887266,8,True,False,COMPLETE
25,0.0563357744499739,5,0.5*mean,0.02442408095591174,9,True,False,COMPLETE
26,0.05627636691993354,5,0.75*mean,0.014639135230786119,8,True,False,COMPLETE
27,0.05609471720964067,5,0*mean,0.013860886523398041,7,False,True,COMPLETE
28,0.056344601297573,5,0.25*mean,0.014502244122916228,9,False,True,COMPLETE
29,0.05609185890312011,5,0*mean,0.014140140965016462,7,False,True,COMPLETE
30,0.05618092161692558,15,0*mean,0.013234262879345274,9,False,True,COMPLETE
31,0.05609344046040269,5,0*mean,0.019108712876218598,7,False,True,COMPLETE
32,0.05608971853431492,5,0*mean,0.01687052492598196,7,False,True,COMPLETE
33,0.05609401398272025,5,0*mean,0.017605968841057733,7,False,True,COMPLETE
34,0.05609221608136515,5,0*mean,0.01770619112073725,7,False,True,COMPLETE
35,0.05608920015130855,5,0*mean,0.01205228754278379,7,False,True,COMPLETE
36,0.05627134929396103,5,0.25*mean,0.012948563635902298,8,False,True,COMPLETE
37,0.09903284326590679,5,mean,0.01213164345163444,9,False,True,COMPLETE
38,0.05627091569708207,15,0.5*mean,0.02822901674662921,7,False,True,COMPLETE
39,0.060908931105995975,20,0.75*mean,0.015873429078579627,11,False,True,COMPLETE
40,0.0561551540438461,5,0*mean,0.011952573904944095,6,False,True,COMPLETE
41,0.09903265738635333,5,mean,0.01883563641811797,4,False,True,COMPLETE
42,0.05609808037552248,5,0*mean,0.020385740697186145,7,False,True,COMPLETE
43,0.05611375917538379,5,0*mean,0.03276384729569395,7,False,True,COMPLETE
44,0.056097631022521556,5,0*mean,0.018184509625602356,8,False,True,COMPLETE
45,0.05618827839398349,20,0*mean,0.016450605851033608,7,False,True,COMPLETE
46,0.05614237768741235,15,0*mean,0.021912501231580846,8,False,True,COMPLETE
47,0.06110640879183802,5,0.5*mean,0.011228111778700242,6,False,True,COMPLETE
48,0.056094671970217655,5,0*mean,0.01629760538821967,7,False,True,COMPLETE
49,0.05664512535368628,20,0*mean,0.2563548019561122,5,False,True,COMPLETE
50,0.09903971918649335,5,mean,0.09715667045555489,10,False,True,COMPLETE
51,0.05632780323155075,5,0.25*mean,0.02761659490116216,5,False,True,COMPLETE
52,0.056093627764870445,5,0*mean,0.017174592304338005,7,False,True,COMPLETE
53,0.05609027720870678,5,0*mean,0.01113315352486295,7,False,True,COMPLETE
54,0.056155266537427154,5,0*mean,0.011322672718336884,6,False,True,COMPLETE
55,0.05608209865953214,5,0*mean,0.010739435241885933,8,False,True,COMPLETE
56,0.056084964772321236,5,0*mean,0.011247568365800566,8,False,True,COMPLETE
57,0.06135236800106521,15,0.75*mean,0.010497959924244862,9,False,True,COMPLETE
58,0.05608074520396324,5,0*mean,0.010231014599101425,8,False,True,COMPLETE
59,0.05608562511174335,5,0*mean,0.01000276826076782,8,False,True,COMPLETE
60,0.056083760149179554,5,0*mean,0.010070927083825062,8,False,True,COMPLETE
61,0.056257021492969364,10,0*mean,0.01002955589456064,10,False,True,COMPLETE
62,0.05608648045633041,5,0*mean,0.012165013735239575,8,False,True,COMPLETE
63,0.05608632574290574,5,0*mean,0.012650912172330045,8,False,True,COMPLETE
64,0.05608655639211059,5,0*mean,0.013187504951575519,8,False,True,COMPLETE
65,0.05613517807417008,5,0*mean,0.010118270919810256,9,False,True,COMPLETE
66,0.061104559770901345,5,0.5*mean,0.01454274747363895,8,False,True,COMPLETE
67,0.056228022173226935,20,0*mean,0.012289197760237238,9,False,True,COMPLETE
68,0.056082361737310446,5,0*mean,0.010989450102966593,8,False,True,COMPLETE
69,0.05627525818637169,5,0.25*mean,0.014908057964219044,8,False,True,COMPLETE
70,0.061504018728718,10,0.75*mean,0.01109592471026608,9,False,True,COMPLETE
71,0.056703650365078295,5,0*mean,0.18190179371843868,8,False,True,COMPLETE
72,0.0560877657908209,5,0*mean,0.012986145566684093,8,False,True,COMPLETE
73,0.05608422346459395,5,0*mean,0.010082081770008983,8,False,True,COMPLETE
74,0.05613653440379063,5,0*mean,0.0108340139529138,9,False,True,COMPLETE
75,0.0560822786813043,5,0*mean,0.010122857297054947,8,False,True,COMPLETE
76,0.05608230393396568,5,0*mean,0.010027363633745049,8,False,True,COMPLETE
77,0.0990332526499766,5,mean,0.013815661358234248,9,False,True,COMPLETE
78,0.0561176907444485,15,0*mean,0.011304129212841905,8,False,True,COMPLETE
79,0.056152493284989155,5,0*mean,0.015312173207531183,9,False,True,COMPLETE
80,0.056485981245588526,5,0*mean,0.0538030843470158,10,False,True,COMPLETE
81,0.05608742494925499,5,0*mean,0.011903518763004628,8,False,True,COMPLETE
82,0.0560835492029829,5,0*mean,0.010353016016998267,8,False,True,COMPLETE
83,0.05608410217984052,5,0*mean,0.010034861781243626,8,False,True,COMPLETE
84,0.05608760831483517,5,0*mean,0.013836229681304792,8,False,True,COMPLETE
85,0.05613455425069269,5,0*mean,0.010150112007473355,9,False,True,COMPLETE
86,0.06110337073884957,5,0.5*mean,0.012869557543294491,8,False,True,COMPLETE
87,0.056139978149649924,5,0*mean,0.011066644516022165,9,False,True,COMPLETE
88,0.05610051663724892,10,0*mean,0.012088305595413443,8,False,True,COMPLETE
89,0.05635836913636696,20,0.25*mean,0.01072356803388922,9,False,True,COMPLETE
90,0.05604222559641718,5,0*mean,0.015572238646361687,7,False,False,COMPLETE
91,0.056267508989436596,5,0.75*mean,0.01574258630581579,7,True,False,COMPLETE
92,0.05603608246170003,5,0*mean,0.01003693126867291,7,False,False,COMPLETE
93,0.056038372372231846,5,0*mean,0.011715485938149221,7,False,False,COMPLETE
94,0.05603889955781223,5,0*mean,0.013744147165911458,7,False,False,COMPLETE
95,0.05604100307579165,5,0*mean,0.013739666231527916,7,False,False,COMPLETE
96,0.05604394960249041,5,0*mean,0.020303930472277753,7,False,False,COMPLETE
97,0.06163647527176904,5,mean,0.02026807225008075,6,False,False,COMPLETE
98,0.05603667115563179,15,0*mean,0.013905865825033602,7,False,False,COMPLETE
99,0.05603753498903814,15,0*mean,0.014097558668590747,7,False,False,COMPLETE
100,0.05604218514303635,15,0*mean,0.015326461165906732,7,False,False,COMPLETE
101,0.056097270422259135,15,0*mean,0.023756443747756126,6,False,False,COMPLETE
102,0.056037423286556934,15,0*mean,0.01385604526667623,7,False,False,COMPLETE
103,0.056043239783237074,15,0*mean,0.019842699170398694,7,False,False,COMPLETE
104,0.05604026942593241,15,0*mean,0.01965325182926577,7,False,False,COMPLETE
105,0.056042350544794874,15,0*mean,0.016963851265887394,7,False,False,COMPLETE
106,0.056041635868304684,15,0*mean,0.017380917586134022,7,False,False,COMPLETE
107,0.05609339196107351,15,0*mean,0.015067688720828112,6,False,False,COMPLETE
108,0.056113948585285914,15,0*mean,0.013910312241675266,7,True,False,COMPLETE
109,0.061634099260263045,15,0.5*mean,0.018749906955795675,6,False,False,COMPLETE
110,0.056041747416246436,15,0*mean,0.016213135220833272,7,False,False,COMPLETE
111,0.05604181618794515,15,0*mean,0.016636092678719277,7,False,False,COMPLETE
112,0.05603677559510532,15,0*mean,0.0170987703176757,7,False,False,COMPLETE
113,0.056045957738583875,15,0*mean,0.018350855235865944,7,False,False,COMPLETE
114,0.05609804106811611,15,0*mean,0.022263423224220372,6,False,False,COMPLETE
115,0.05604137172465257,15,0*mean,0.0168481278156546,7,False,False,COMPLETE
116,0.0562347815483137,15,0.25*mean,0.013656419417219899,7,False,False,COMPLETE
117,0.0560402324220769,15,0*mean,0.014593618083706072,7,False,False,COMPLETE
118,0.05609331678465612,15,0*mean,0.017388767727502863,6,False,False,COMPLETE
119,0.061632639402972256,15,0.75*mean,0.014473298752743568,7,False,False,COMPLETE
120,0.056045353731613956,15,0*mean,0.025707814822688323,7,False,False,COMPLETE
121,0.06163112033509677,15,mean,0.013252214460828214,7,False,False,COMPLETE
122,0.05604197127318213,15,0*mean,0.016150848851234346,7,False,False,COMPLETE
123,0.05604220152732525,15,0*mean,0.017903741406127844,7,False,False,COMPLETE
124,0.056091317884405655,15,0*mean,0.014625127369038671,6,False,False,COMPLETE
125,0.05604121973243189,15,0*mean,0.021401134932567532,7,False,False,COMPLETE
126,0.05605727698746103,15,0*mean,0.03164722157715209,7,False,False,COMPLETE
127,0.056045680087535854,15,0*mean,0.0217953512974477,7,False,False,COMPLETE
128,0.05613306833583742,15,0*mean,0.012641075198131768,6,True,False,COMPLETE
129,0.056979214367281414,15,0*mean,0.01912287926651241,12,False,False,COMPLETE
130,0.05604763141386295,15,0*mean,0.02359342549069225,7,False,False,COMPLETE
131,0.056035815071313055,15,0*mean,0.012063545512670167,7,False,False,COMPLETE
132,0.056036883468658906,15,0*mean,0.012202494763303755,7,False,False,COMPLETE
133,0.05603295598426172,15,0*mean,0.011934310002774725,7,False,False,COMPLETE
134,0.05603535710468731,15,0*mean,0.01167835437319773,7,False,False,COMPLETE
